Age,Income,Education,TotalPurchases,AverageSpend,CampaignChannel,Response
69,58138.00,"Graduation",0,0,"Email",0
69,58138.00,"Graduation",0,0,"SMS",0
69,58138.00,"Graduation",0,0,"Social Media",0
69,58138.00,"Graduation",0,0,"Google Search Ads",0
69,58138.00,"Graduation",0,0,"Display Ads",0
69,58138.00,"Graduation",0,0,"Email",0
72,46344.00,"Graduation",0,0,"Email",0
72,46344.00,"Graduation",0,0,"SMS",0
72,46344.00,"Graduation",0,0,"Social Media",0
72,46344.00,"Graduation",0,0,"Google Search Ads",0
72,46344.00,"Graduation",0,0,"Display Ads",0
72,46344.00,"Graduation",0,0,"Email",0
61,71613.00,"Graduation",0,0,"Email",0
61,71613.00,"Graduation",0,0,"SMS",0
61,71613.00,"Graduation",0,0,"Social Media",0
61,71613.00,"Graduation",0,0,"Google Search Ads",0
61,71613.00,"Graduation",0,0,"Display Ads",0
61,71613.00,"Graduation",0,0,"Email",0
42,26646.00,"Graduation",0,0,"Email",0
42,26646.00,"Graduation",0,0,"SMS",0
42,26646.00,"Graduation",0,0,"Social Media",0
42,26646.00,"Graduation",0,0,"Google Search Ads",0
42,26646.00,"Graduation",0,0,"Display Ads",0
42,26646.00,"Graduation",0,0,"Email",0
45,58293.00,"PhD",0,0,"Email",0
45,58293.00,"PhD",0,0,"SMS",0
45,58293.00,"PhD",0,0,"Social Media",0
45,58293.00,"PhD",0,0,"Google Search Ads",0
45,58293.00,"PhD",0,0,"Display Ads",0
45,58293.00,"PhD",0,0,"Email",0
59,62513.00,"Master",0,0,"Email",0
59,62513.00,"Master",0,0,"SMS",0
59,62513.00,"Master",0,0,"Social Media",0
59,62513.00,"Master",0,0,"Google Search Ads",0
59,62513.00,"Master",0,0,"Display Ads",0
59,62513.00,"Master",0,0,"Email",0
55,55635.00,"Graduation",0,0,"Email",0
55,55635.00,"Graduation",0,0,"SMS",0
55,55635.00,"Graduation",0,0,"Social Media",0
55,55635.00,"Graduation",0,0,"Google Search Ads",0
55,55635.00,"Graduation",0,0,"Display Ads",0
55,55635.00,"Graduation",0,0,"Email",0
41,33454.00,"PhD",0,0,"Email",0
41,33454.00,"PhD",0,0,"SMS",0
41,33454.00,"PhD",0,0,"Social Media",0
41,33454.00,"PhD",0,0,"Google Search Ads",0
41,33454.00,"PhD",0,0,"Display Ads",0
41,33454.00,"PhD",0,0,"Email",0
52,30351.00,"PhD",0,0,"Email",0
52,30351.00,"PhD",0,0,"SMS",0
52,30351.00,"PhD",0,0,"Social Media",0
52,30351.00,"PhD",0,0,"Google Search Ads",0
52,30351.00,"PhD",0,0,"Display Ads",0
52,30351.00,"PhD",0,0,"Email",0
76,5648.00,"PhD",0,0,"Email",0
76,5648.00,"PhD",0,0,"SMS",0
76,5648.00,"PhD",0,0,"Social Media",0
76,5648.00,"PhD",0,0,"Google Search Ads",0
76,5648.00,"PhD",0,0,"Display Ads",0
76,5648.00,"PhD",0,0,"Email",0
43,0.00,"Graduation",0,0,"Email",0
43,0.00,"Graduation",0,0,"SMS",0
43,0.00,"Graduation",0,0,"Social Media",0
43,0.00,"Graduation",0,0,"Google Search Ads",0
43,0.00,"Graduation",0,0,"Display Ads",0
43,0.00,"Graduation",0,0,"Email",0
50,7500.00,"Basic",0,0,"Email",0
50,7500.00,"Basic",0,0,"SMS",0
50,7500.00,"Basic",0,0,"Social Media",0
50,7500.00,"Basic",0,0,"Google Search Ads",0
50,7500.00,"Basic",0,0,"Display Ads",0
50,7500.00,"Basic",0,0,"Email",0
67,63033.00,"Graduation",0,0,"Email",0
67,63033.00,"Graduation",0,0,"SMS",0
67,63033.00,"Graduation",0,0,"Social Media",0
67,63033.00,"Graduation",0,0,"Google Search Ads",0
67,63033.00,"Graduation",0,0,"Display Ads",0
67,63033.00,"Graduation",0,0,"Email",0
74,59354.00,"Master",0,0,"Email",0
74,59354.00,"Master",0,0,"SMS",0
74,59354.00,"Master",0,0,"Social Media",0
74,59354.00,"Master",0,0,"Google Search Ads",0
74,59354.00,"Master",0,0,"Display Ads",0
74,59354.00,"Master",0,0,"Email",0
39,17323.00,"Graduation",0,0,"Email",0
39,17323.00,"Graduation",0,0,"SMS",0
39,17323.00,"Graduation",0,0,"Social Media",0
39,17323.00,"Graduation",0,0,"Google Search Ads",0
39,17323.00,"Graduation",0,0,"Display Ads",0
39,17323.00,"Graduation",0,0,"Email",0
80,82800.00,"PhD",0,0,"Email",0
80,82800.00,"PhD",0,0,"SMS",0
80,82800.00,"PhD",0,0,"Social Media",0
80,82800.00,"PhD",0,0,"Google Search Ads",0
80,82800.00,"PhD",0,0,"Display Ads",0
80,82800.00,"PhD",0,0,"Email",0
46,41850.00,"Graduation",0,0,"Email",0
46,41850.00,"Graduation",0,0,"SMS",0
46,41850.00,"Graduation",0,0,"Social Media",0
46,41850.00,"Graduation",0,0,"Google Search Ads",0
46,41850.00,"Graduation",0,0,"Display Ads",0
46,41850.00,"Graduation",0,0,"Email",0
80,37760.00,"Graduation",0,0,"Email",0
80,37760.00,"Graduation",0,0,"SMS",0
80,37760.00,"Graduation",0,0,"Social Media",0
80,37760.00,"Graduation",0,0,"Google Search Ads",0
80,37760.00,"Graduation",0,0,"Display Ads",0
80,37760.00,"Graduation",0,0,"Email",0
77,76995.00,"Master",0,0,"Email",0
77,76995.00,"Master",0,0,"SMS",0
77,76995.00,"Master",0,0,"Social Media",0
77,76995.00,"Master",0,0,"Google Search Ads",0
77,76995.00,"Master",0,0,"Display Ads",0
77,76995.00,"Master",0,0,"Email",0
41,33812.00,"2n Cycle",0,0,"Email",0
41,33812.00,"2n Cycle",0,0,"SMS",0
41,33812.00,"2n Cycle",0,0,"Social Media",0
41,33812.00,"2n Cycle",0,0,"Google Search Ads",0
41,33812.00,"2n Cycle",0,0,"Display Ads",0
41,33812.00,"2n Cycle",0,0,"Email",0
44,37040.00,"Graduation",0,0,"Email",0
44,37040.00,"Graduation",0,0,"SMS",0
44,37040.00,"Graduation",0,0,"Social Media",0
44,37040.00,"Graduation",0,0,"Google Search Ads",0
44,37040.00,"Graduation",0,0,"Display Ads",0
44,37040.00,"Graduation",0,0,"Email",0
47,2447.00,"Graduation",0,0,"Email",0
47,2447.00,"Graduation",0,0,"SMS",0
47,2447.00,"Graduation",0,0,"Social Media",0
