Customer ID,Age,Income,Education,Country,Customer Segment,Average Spend,Purchases,Response Rate
1,69,58138.00,Graduation,Germany,Low Value,0.00,0,0.0000
2,72,46344.00,Graduation,Canada,Low Value,0.00,0,0.0000
3,61,71613.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
4,42,26646.00,Graduation,Germany,Low Value,0.00,0,0.0000
5,45,58293.00,PhD,Canada,Low Value,0.00,0,0.0000
6,59,62513.00,Master,United States,Low Value,0.00,0,0.0000
7,55,55635.00,Graduation,Canada,Low Value,0.00,0,0.0000
8,41,33454.00,PhD,United States,Low Value,0.00,0,0.0000
9,52,30351.00,PhD,Australia,Low Value,0.00,0,0.0000
10,76,5648.00,PhD,Germany,Low Value,0.00,0,0.0000
11,43,0.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
12,50,7500.00,Basic,Canada,Low Value,0.00,0,0.0000
13,67,63033.00,Graduation,Canada,Low Value,0.00,0,0.0000
14,74,59354.00,Master,Australia,Low Value,0.00,0,0.0000
15,39,17323.00,Graduation,Germany,Low Value,0.00,0,0.0000
16,80,82800.00,PhD,Germany,Low Value,0.00,0,0.0000
17,46,41850.00,Graduation,United States,Low Value,0.00,0,0.0000
18,80,37760.00,Graduation,Australia,Low Value,0.00,0,0.0000
19,77,76995.00,Master,Australia,Low Value,0.00,0,0.0000
20,41,33812.00,2n Cycle,United Kingdom,Low Value,0.00,0,0.0000
21,44,37040.00,Graduation,United States,Low Value,0.00,0,0.0000
22,47,2447.00,Graduation,Germany,Low Value,0.00,0,0.0000
23,77,58607.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
24,72,65324.00,PhD,Canada,Low Value,0.00,0,0.0000
25,75,40689.00,Graduation,United States,Low Value,0.00,0,0.0000
26,57,18589.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
27,50,53359.00,Graduation,United States,Low Value,0.00,0,0.0000
28,40,0.00,Graduation,Australia,Low Value,0.00,0,0.0000
29,37,38360.00,Graduation,Canada,Low Value,0.00,0,0.0000
30,61,84618.00,PhD,United States,Low Value,0.00,0,0.0000
31,37,10979.00,Master,Canada,Low Value,0.00,0,0.0000
32,63,38620.00,Master,Germany,Low Value,0.00,0,0.0000
33,56,40548.00,Graduation,Australia,Low Value,0.00,0,0.0000
34,74,46610.00,PhD,Australia,Low Value,0.00,0,0.0000
35,80,68657.00,Master,United Kingdom,Low Value,0.00,0,0.0000
36,75,49389.00,Master,United Kingdom,Low Value,0.00,0,0.0000
37,56,67353.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
38,50,23718.00,2n Cycle,Germany,Low Value,0.00,0,0.0000
39,53,42429.00,Graduation,United States,Low Value,0.00,0,0.0000
40,83,48948.00,PhD,Australia,Low Value,0.00,0,0.0000
41,46,80011.00,Graduation,Germany,Low Value,0.00,0,0.0000
42,41,20559.00,Master,United States,Low Value,0.00,0,0.0000
43,69,21994.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
44,67,0.00,PhD,United Kingdom,Low Value,0.00,0,0.0000
45,51,7500.00,Master,United States,Low Value,0.00,0,0.0000
46,50,79941.00,Graduation,Germany,Low Value,0.00,0,0.0000
47,30,7500.00,2n Cycle,Canada,Low Value,0.00,0,0.0000
48,58,41728.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
49,75,0.00,Graduation,Canada,Low Value,0.00,0,0.0000
50,72,72550.00,PhD,Germany,Low Value,0.00,0,0.0000
51,69,65486.00,Graduation,Australia,Low Value,0.00,0,0.0000
52,62,79143.00,Master,Canada,Low Value,0.00,0,0.0000
53,49,35790.00,Graduation,Canada,Low Value,0.00,0,0.0000
54,49,82582.00,Graduation,Canada,Low Value,0.00,0,0.0000
55,48,66373.00,Graduation,Australia,Low Value,0.00,0,0.0000
56,71,82384.00,Master,United Kingdom,Low Value,0.00,0,0.0000
57,60,70287.00,Graduation,Germany,Low Value,0.00,0,0.0000
58,38,27938.00,Graduation,Canada,Low Value,0.00,0,0.0000
59,44,0.00,Graduation,Canada,Low Value,0.00,0,0.0000
60,58,55954.00,PhD,Australia,Low Value,0.00,0,0.0000
61,44,75777.00,Master,United Kingdom,Low Value,0.00,0,0.0000
62,51,66653.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
63,74,61823.00,Graduation,Canada,Low Value,0.00,0,0.0000
64,75,67680.00,PhD,Australia,Low Value,0.00,0,0.0000
65,78,70666.00,Graduation,Canada,Low Value,0.00,0,0.0000
66,55,25721.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
67,59,32474.00,Graduation,United Kingdom,Low Value,0.00,0,0.0000
68,47,88194.00,2n Cycle,United Kingdom,Low Value,0.00,0,0.0000
69,68,69096.00,Graduation,United States,Low Value,0.00,0,0.0000
70,56,74854.00,Graduation,Australia,Low Value,0.00,0,0.0000
71,72,66991.00,Master,Australia,Low Value,0.00,0,0.0000
72,53,0.00,2n Cycle,Germany,Low Value,0.00,0,0.0000
73,67,65031.00,Graduation,Germany,Low Value,0.00,0,0.0000
74,51,60631.00,PhD,Germany,Low Value,0.00,0,0.0000
75,74,28332.00,Graduation,United States,Low Value,0.00,0,0.0000
76,49,40246.00,Graduation,Germany,Low Value,0.00,0,0.0000
77,54,75251.00,Master,United States,Low Value,0.00,0,0.0000
